phone,lng,lat,is delivered,created at,updated at,id
1-207-832-4044,9.7557,-12.4458,,2018-03-19 16:02:58 UTC,2018-03-19 16:02:58 UTC,3944
(369) 882-0536 x58480,106.6337,36.2443,true,2018-03-19 16:03:01 UTC,2018-03-19 16:03:01 UTC,3945
1-066-320-7026,-16.9141,45.0692,,2018-03-19 16:03:02 UTC,2018-03-19 16:03:02 UTC,3946
(397) 256-0682,164.05,-36.8734,true,2018-03-19 16:03:04 UTC,2018-03-19 16:03:04 UTC,3947
322-377-1401 x44966,-172.4306,9.0738,,2018-03-19 16:03:07 UTC,2018-03-19 16:03:07 UTC,3948
1-509-931-9017 x010,-97.7538,-25.4354,,2018-03-19 16:03:12 UTC,2018-03-19 16:03:12 UTC,3949
888-672-4147 x78233,2.5761,-88.3907,,2018-03-19 16:03:13 UTC,2018-03-19 16:03:13 UTC,3950
(704) 124-1710,-106.2674,-52.116,,2018-03-19 16:03:14 UTC,2018-03-19 16:03:14 UTC,3951
(035) 699-0577 x4165,-170.2263,19.9203,true,2018-03-19 16:03:16 UTC,2018-03-19 16:03:16 UTC,3952
(465) 217-6946 x65868,166.4787,89.5076,,2018-03-19 16:03:21 UTC,2018-03-19 16:03:21 UTC,3953
874-311-3888 x84104,-137.945,-77.738,true,2018-03-19 16:03:22 UTC,2018-03-19 16:03:22 UTC,3954
546-270-8015 x94005,-124.1315,-64.5884,,2018-03-19 16:03:23 UTC,2018-03-19 16:03:23 UTC,3955
496.767.0353 x730,115.5629,39.9169,true,2018-03-19 16:03:26 UTC,2018-03-19 16:03:26 UTC,3956
(434) 297-5797 x5453,125.6742,78.5438,true,2018-03-19 16:03:28 UTC,2018-03-19 16:03:28 UTC,3957
(299) 947-2789,-120.0016,-51.8735,,2018-03-19 16:03:29 UTC,2018-03-19 16:03:29 UTC,3958
(162) 887-5620,105.4189,-88.8961,,2018-03-19 16:03:31 UTC,2018-03-19 16:03:31 UTC,3959
170.628.4433 x6315,115.541,55.7824,,2018-03-19 16:03:34 UTC,2018-03-19 16:03:34 UTC,3960
(523) 040-7656,48.8052,16.6762,,2018-03-19 16:03:35 UTC,2018-03-19 16:03:35 UTC,3961
1-974-130-0603,-137.5039,-81.9669,,2018-03-19 16:03:36 UTC,2018-03-19 16:03:36 UTC,3962
1-569-061-2995,-82.6982,-30.8296,,2018-03-19 16:03:39 UTC,2018-03-19 16:03:39 UTC,3963
(446) 905-2417 x022,-16.4822,69.9221,true,2018-03-19 16:03:42 UTC,2018-03-19 16:03:42 UTC,3964
1-286-918-7681 x2808,45.6949,20.4043,,2018-03-19 16:03:44 UTC,2018-03-19 16:03:44 UTC,3965
051.704.1303 x0392,-15.318,86.7124,true,2018-03-19 16:03:48 UTC,2018-03-19 16:03:48 UTC,3966
(158) 610-1115,-152.2362,-17.274,,2018-03-19 16:03:50 UTC,2018-03-19 16:03:50 UTC,3967
1-539-426-6392 x0092,68.558,-32.4969,,2018-03-19 16:03:54 UTC,2018-03-19 16:03:54 UTC,3968
132.893.2333 x88141,-109.0521,-46.3038,true,2018-03-19 16:03:56 UTC,2018-03-19 16:03:56 UTC,3969
(984) 428-2832 x207,109.7784,81.3004,,2018-03-19 16:03:57 UTC,2018-03-19 16:03:57 UTC,3970
(384) 734-4567,73.4672,19.8298,true,2018-03-19 16:03:59 UTC,2018-03-19 16:03:59 UTC,3971
643-706-5936,12.0164,-85.0329,,2018-03-19 16:04:02 UTC,2018-03-19 16:04:02 UTC,3972
1-424-153-5552,-96.1629,-35.5585,true,2018-03-19 16:04:03 UTC,2018-03-19 16:04:03 UTC,3973
(353) 652-7571 x544,-67.0559,34.7079,true,2018-03-19 16:04:08 UTC,2018-03-19 16:04:08 UTC,3974
100.935.1406 x742,55.1658,-43.5676,,2018-03-19 16:04:11 UTC,2018-03-19 16:04:11 UTC,3975
603-001-9818,-6.2054,68.2308,true,2018-03-19 16:04:13 UTC,2018-03-19 16:04:13 UTC,3976
(740) 904-3103 x751,-33.6685,-14.2506,true,2018-03-19 16:04:16 UTC,2018-03-19 16:04:16 UTC,3977
(160) 210-5924,-140.5819,87.6635,true,2018-03-19 16:04:17 UTC,2018-03-19 16:04:17 UTC,3978
147-588-2283,131.9124,63.0428,true,2018-03-19 16:04:20 UTC,2018-03-19 16:04:20 UTC,3979
1-931-280-4017 x9166,-46.468,7.11,,2018-03-19 16:04:21 UTC,2018-03-19 16:04:21 UTC,3980
(990) 008-1941 x817,53.8447,24.8642,,2018-03-19 16:04:23 UTC,2018-03-19 16:04:23 UTC,3981
(251) 819-0998,-179.6363,82.3844,true,2018-03-19 16:04:24 UTC,2018-03-19 16:04:24 UTC,3982
116-652-3034,-68.0639,-2.4635,true,2018-03-19 16:04:27 UTC,2018-03-19 16:04:27 UTC,3983
095-927-7002,12.2915,32.7261,true,2018-03-19 16:04:29 UTC,2018-03-19 16:04:29 UTC,3984
(339) 390-1834,25.4421,77.9361,true,2018-03-19 16:04:30 UTC,2018-03-19 16:04:30 UTC,3985
728.025.2809 x61725,56.0735,8.013,,2018-03-19 16:04:31 UTC,2018-03-19 16:04:31 UTC,3986
(049) 668-9396 x66910,-176.652,-14.4759,true,2018-03-19 16:04:35 UTC,2018-03-19 16:04:35 UTC,3987
412-241-6559 x96394,11.93,-8.9783,,2018-03-19 16:04:36 UTC,2018-03-19 16:04:36 UTC,3988
622.133.8575 x3382,13.2423,-39.9841,,2018-03-19 16:04:39 UTC,2018-03-19 16:04:39 UTC,3989
1-523-976-5517 x686,165.1765,-14.8989,,2018-03-19 16:04:40 UTC,2018-03-19 16:04:40 UTC,3990
(063) 774-2243 x0016,31.718,25.9442,true,2018-03-19 16:04:42 UTC,2018-03-19 16:04:42 UTC,3991
878-271-4592 x9288,-146.5436,40.536,true,2018-03-19 16:04:43 UTC,2018-03-19 16:04:43 UTC,3992
739.815.0118 x23757,103.8388,-34.6228,,2018-03-19 16:04:46 UTC,2018-03-19 16:04:46 UTC,3993
251-306-3078 x58829,-74.0168,-58.8094,,2018-03-19 16:04:47 UTC,2018-03-19 16:04:47 UTC,3994
(902) 648-2754 x235,48.588,54.2542,,2018-03-19 16:04:48 UTC,2018-03-19 16:04:48 UTC,3995
(031) 624-6829,-22.0013,-51.1261,true,2018-03-19 16:04:50 UTC,2018-03-19 16:04:50 UTC,3996
1-254-907-9809,161.1494,50.7058,,2018-03-19 16:04:53 UTC,2018-03-19 16:04:53 UTC,3997
287.956.1879 x1601,18.1241,-61.3089,,2018-03-19 16:04:54 UTC,2018-03-19 16:04:54 UTC,3998
(789) 269-2961 x09106,33.3078,-68.4893,,2018-03-19 16:04:56 UTC,2018-03-19 16:04:56 UTC,3999
642.640.6474,-29.2411,40.4071,,2018-03-19 16:04:57 UTC,2018-03-19 16:04:57 UTC,4000
(958) 975-3754 x504,-25.1651,-40.6399,,2018-03-19 16:05:00 UTC,2018-03-19 16:05:00 UTC,4001
668-117-7009 x21605,67.1318,50.8734,,2018-03-19 16:05:04 UTC,2018-03-19 16:05:04 UTC,4002
1-125-469-1207 x3907,-139.1813,66.0695,true,2018-03-19 16:05:07 UTC,2018-03-19 16:05:07 UTC,4003
1-370-962-7635 x09788,146.075,32.6577,,2018-03-19 16:05:08 UTC,2018-03-19 16:05:08 UTC,4004
855.186.2195,-115.8812,53.8678,,2018-03-19 16:05:10 UTC,2018-03-19 16:05:10 UTC,4005
897.609.4841,148.0275,-35.3444,true,2018-03-19 16:05:13 UTC,2018-03-19 16:05:13 UTC,4006
(557) 193-6897,122.6353,-25.0349,true,2018-03-19 16:05:14 UTC,2018-03-19 16:05:14 UTC,4007
1-035-830-9816 x3029,-2.4895,-75.3963,true,2018-03-19 16:05:15 UTC,2018-03-19 16:05:15 UTC,4008
167-667-6412,-103.6233,23.73,true,2018-03-19 16:05:16 UTC,2018-03-19 16:05:16 UTC,4009
(272) 187-8596,-18.2719,-58.8131,,2018-03-19 16:05:20 UTC,2018-03-19 16:05:20 UTC,4010
748-265-7566 x2431,80.3505,81.31,true,2018-03-19 16:05:21 UTC,2018-03-19 16:05:21 UTC,4011
(898) 251-9398,163.4034,-85.6303,true,2018-03-19 16:05:24 UTC,2018-03-19 16:05:24 UTC,4012
1-689-369-7448,114.7668,-77.0421,true,2018-03-19 16:05:25 UTC,2018-03-19 16:05:25 UTC,4013
(936) 765-6889 x44360,-161.0114,-12.2067,true,2018-03-19 16:05:27 UTC,2018-03-19 16:05:27 UTC,4014
801.255.4714,-109.5471,19.6369,true,2018-03-19 16:05:30 UTC,2018-03-19 16:05:30 UTC,4015
1-868-534-6424,78.7133,-87.5805,,2018-03-19 16:05:31 UTC,2018-03-19 16:05:31 UTC,4016
658.768.6116 x133,-18.5148,10.3349,,2018-03-19 16:05:34 UTC,2018-03-19 16:05:34 UTC,4017
1-231-071-2176 x058,-75.7379,75.7297,,2018-03-19 16:05:36 UTC,2018-03-19 16:05:36 UTC,4018
990.589.9383,-135.6183,-43.5507,,2018-03-19 16:05:37 UTC,2018-03-19 16:05:37 UTC,4019
1-862-067-1839,65.0186,-21.1137,true,2018-03-19 16:05:38 UTC,2018-03-19 16:05:38 UTC,4020
070.065.3320,155.4352,-44.7532,true,2018-03-19 16:05:43 UTC,2018-03-19 16:05:43 UTC,4021
642.916.2598 x2878,10.2074,-56.6872,,2018-03-19 16:05:44 UTC,2018-03-19 16:05:44 UTC,4022
045.849.9339,-170.8272,57.3287,,2018-03-19 16:05:46 UTC,2018-03-19 16:05:46 UTC,4023
(878) 778-3468 x10970,-55.0662,-43.4771,true,2018-03-19 16:05:47 UTC,2018-03-19 16:05:47 UTC,4024
1-425-284-8002,49.5769,10.8493,,2018-03-19 16:05:53 UTC,2018-03-19 16:05:53 UTC,4025
(946) 750-7849 x478,151.6109,22.7989,,2018-03-19 16:05:55 UTC,2018-03-19 16:05:55 UTC,4026
389-792-4753 x20989,-18.9437,-13.9496,true,2018-03-19 16:05:56 UTC,2018-03-19 16:05:56 UTC,4027
1-667-757-0541 x2606,168.6413,54.1402,,2018-03-19 16:05:59 UTC,2018-03-19 16:05:59 UTC,4028
154-074-2979 x514,-40.5782,23.7974,,2018-03-19 16:06:00 UTC,2018-03-19 16:06:00 UTC,4029
1-326-635-1109 x929,-0.054,-1.8479,,2018-03-19 16:06:02 UTC,2018-03-19 16:06:02 UTC,4030
330.744.2951,-12.0577,-8.7459,true,2018-03-19 16:06:03 UTC,2018-03-19 16:06:03 UTC,4031
020-958-9992 x829,-119.5106,78.1671,true,2018-03-19 16:06:06 UTC,2018-03-19 16:06:06 UTC,4032
1-353-301-4345 x2865,64.4515,-41.2796,true,2018-03-19 16:06:07 UTC,2018-03-19 16:06:07 UTC,4033
1-664-271-6340 x49638,69.9311,-3.445,,2018-03-19 16:06:09 UTC,2018-03-19 16:06:09 UTC,4034
1-369-623-7491 x7944,-172.2978,-54.4694,,2018-03-19 16:06:11 UTC,2018-03-19 16:06:11 UTC,4035
(103) 071-5236,137.1071,-17.2582,true,2018-03-19 16:06:13 UTC,2018-03-19 16:06:13 UTC,4036
425-480-9781 x882,-54.1201,-14.3138,true,2018-03-19 16:06:14 UTC,2018-03-19 16:06:14 UTC,4037
569-900-9309,97.2988,48.2343,true,2018-03-19 16:06:15 UTC,2018-03-19 16:06:15 UTC,4038
1-393-721-9281 x244,175.1621,-72.8523,true,2018-03-19 16:06:20 UTC,2018-03-19 16:06:20 UTC,4039
1-092-572-2919 x458,177.3974,82.8693,true,2018-03-19 16:06:21 UTC,2018-03-19 16:06:21 UTC,4040
1-525-320-4687 x4110,119.0515,32.4588,,2018-03-19 16:06:24 UTC,2018-03-19 16:06:24 UTC,4041
1-834-562-1239 x483,80.169,-46.7745,true,2018-03-19 16:06:26 UTC,2018-03-19 16:06:26 UTC,4042
474-440-1225 x53904,-71.4922,89.7527,true,2018-03-19 16:06:28 UTC,2018-03-19 16:06:28 UTC,4043
808-047-9703 x0395,-157.0483,-22.1019,true,2018-03-19 16:06:30 UTC,2018-03-19 16:06:30 UTC,4044
(463) 301-9150 x926,28.9357,37.1625,,2018-03-19 16:06:31 UTC,2018-03-19 16:06:31 UTC,4045
502.583.9695 x188,58.0569,-64.931,true,2018-03-19 16:06:34 UTC,2018-03-19 16:06:34 UTC,4046
593.806.6695,-147.0282,-11.3774,,2018-03-19 16:06:35 UTC,2018-03-19 16:06:35 UTC,4047
(188) 740-6307 x53415,146.5911,55.8029,true,2018-03-19 16:06:37 UTC,2018-03-19 16:06:37 UTC,4048
147.932.7266,-67.6065,-69.6568,,2018-03-19 16:06:40 UTC,2018-03-19 16:06:40 UTC,4049
973-010-6142 x997,104.6166,88.5443,,2018-03-19 16:06:41 UTC,2018-03-19 16:06:41 UTC,4050
1-745-642-3108 x624,80.2192,9.4436,,2018-03-19 16:06:44 UTC,2018-03-19 16:06:44 UTC,4051
572.016.3199,108.7206,-77.666,,2018-03-19 16:06:45 UTC,2018-03-19 16:06:45 UTC,4052
016.397.4279,-55.9668,-14.7067,true,2018-03-19 16:06:48 UTC,2018-03-19 16:06:48 UTC,4053
764.205.3929,-43.6025,-13.2843,,2018-03-19 16:06:49 UTC,2018-03-19 16:06:49 UTC,4054
(211) 433-0873,-80.2515,63.1776,true,2018-03-19 16:06:52 UTC,2018-03-19 16:06:52 UTC,4055
556-332-9751 x813,-8.3765,5.9769,,2018-03-19 16:06:54 UTC,2018-03-19 16:06:54 UTC,4056
514-171-3997 x583,95.0179,-39.8298,true,2018-03-19 16:06:55 UTC,2018-03-19 16:06:55 UTC,4057
(641) 816-6109,152.7459,-42.1173,,2018-03-19 16:06:56 UTC,2018-03-19 16:06:56 UTC,4058
659.069.8739,-53.5714,-85.1674,true,2018-03-19 16:06:59 UTC,2018-03-19 16:06:59 UTC,4059
868.311.4112 x5063,169.1975,77.2763,true,2018-03-19 16:07:01 UTC,2018-03-19 16:07:01 UTC,4060
(882) 467-2705,-164.6038,-45.7042,true,2018-03-19 16:07:02 UTC,2018-03-19 16:07:02 UTC,4061
106-578-0526,-78.5003,-87.8093,true,2018-03-19 16:07:03 UTC,2018-03-19 16:07:03 UTC,4062
(127) 738-6406,-59.4148,41.6206,true,2018-03-19 16:07:06 UTC,2018-03-19 16:07:06 UTC,4063
(648) 775-9881 x5576,-122.105,20.0061,true,2018-03-19 16:07:08 UTC,2018-03-19 16:07:08 UTC,4064
(570) 281-7656 x920,149.9667,79.0712,,2018-03-19 16:07:09 UTC,2018-03-19 16:07:09 UTC,4065
(424) 185-0243 x408,-91.3377,18.3879,true,2018-03-19 16:07:12 UTC,2018-03-19 16:07:12 UTC,4066
103-030-4503,91.1869,59.7918,true,2018-03-19 16:07:13 UTC,2018-03-19 16:07:13 UTC,4067
907-993-6672,11.7327,60.6862,,2018-03-19 16:07:18 UTC,2018-03-19 16:07:18 UTC,4068
576-051-1117,47.2013,-6.1967,,2018-03-19 16:07:19 UTC,2018-03-19 16:07:19 UTC,4069
961.893.9816,-87.4231,-37.9423,true,2018-03-19 16:07:22 UTC,2018-03-19 16:07:22 UTC,4070
313.134.8700 x199,-76.3349,-29.0705,,2018-03-19 16:07:25 UTC,2018-03-19 16:07:25 UTC,4071
084-114-2594,122.3003,55.4201,true,2018-03-19 16:07:30 UTC,2018-03-19 16:07:30 UTC,4072
(074) 532-2851,-25.1654,55.1665,,2018-03-19 16:07:33 UTC,2018-03-19 16:07:33 UTC,4073
134.582.0126 x7286,12.2694,21.3379,true,2018-03-19 16:07:35 UTC,2018-03-19 16:07:35 UTC,4074
851.161.7661 x5753,-17.4946,-5.0479,,2018-03-19 16:07:38 UTC,2018-03-19 16:07:38 UTC,4075
078.893.8377 x9058,97.6991,-77.1495,true,2018-03-19 16:07:39 UTC,2018-03-19 16:07:39 UTC,4076
(068) 073-4031 x0175,-4.1768,-15.499,true,2018-03-19 16:07:44 UTC,2018-03-19 16:07:44 UTC,4077
605-242-7584 x2985,71.4641,83.3118,true,2018-03-19 16:07:45 UTC,2018-03-19 16:07:45 UTC,4078
126-574-5210 x8031,-152.592,-23.3294,true,2018-03-19 16:07:47 UTC,2018-03-19 16:07:47 UTC,4079
(366) 121-3645,-103.9246,5.8353,,2018-03-19 16:07:48 UTC,2018-03-19 16:07:48 UTC,4080
(389) 382-8692 x340,-144.2684,-60.2017,,2018-03-19 16:07:51 UTC,2018-03-19 16:07:51 UTC,4081
1-129-967-0137 x93195,42.5431,0.8524,,2018-03-19 16:07:54 UTC,2018-03-19 16:07:54 UTC,4082
650.116.2247 x7387,-110.0249,73.8929,,2018-03-19 16:07:55 UTC,2018-03-19 16:07:55 UTC,4083
(941) 353-1713,109.6201,-2.3236,,2018-03-19 16:07:58 UTC,2018-03-19 16:07:58 UTC,4084
780.160.1184,10.4987,-86.3563,,2018-03-19 16:08:00 UTC,2018-03-19 16:08:00 UTC,4085
944.523.2966,-84.655,-73.4354,true,2018-03-19 16:08:01 UTC,2018-03-19 16:08:01 UTC,4086
(200) 077-4966,130.5371,79.0228,,2018-03-19 16:08:02 UTC,2018-03-19 16:08:02 UTC,4087
1-096-204-5771 x13312,-0.5029,-53.4946,true,2018-03-19 16:08:05 UTC,2018-03-19 16:08:05 UTC,4088
(848) 350-6329 x44011,-29.5997,-74.5364,true,2018-03-19 16:08:06 UTC,2018-03-19 16:08:06 UTC,4089
(996) 590-3702,87.7426,5.8245,true,2018-03-19 16:08:09 UTC,2018-03-19 16:08:09 UTC,4090
1-056-576-1883 x05426,171.8344,-54.9175,true,2018-03-19 16:08:14 UTC,2018-03-19 16:08:14 UTC,4091
999-710-4025,60.3118,56.9821,true,2018-03-19 16:08:15 UTC,2018-03-19 16:08:15 UTC,4092
108.340.6046 x5247,-155.0321,5.7746,,2018-03-19 16:08:17 UTC,2018-03-19 16:08:17 UTC,4093
930.402.5284 x56786,-110.5937,85.0248,,2018-03-19 16:08:20 UTC,2018-03-19 16:08:20 UTC,4094
278-331-9525,-93.5476,67.6686,,2018-03-19 16:08:21 UTC,2018-03-19 16:08:21 UTC,4095
175-140-7520 x5731,111.1089,-34.7996,true,2018-03-19 16:08:23 UTC,2018-03-19 16:08:23 UTC,4096
875.428.1437 x3153,141.8419,88.2142,,2018-03-19 16:08:24 UTC,2018-03-19 16:08:24 UTC,4097
906-192-6971,-3.0188,57.8613,,2018-03-19 16:08:29 UTC,2018-03-19 16:08:29 UTC,4098
1-422-596-0847,-33.8694,47.8288,true,2018-03-19 16:08:32 UTC,2018-03-19 16:08:32 UTC,4099
